"","x"
"1","4930405D11Rik"
"2","4930578N18Rik"
"3","A930005H10Rik"
"4","Abca5"
"5","Abhd1"
"6","AI506816"
"7","Ank2"
"8","BC018473"
"9","Camk2b"
"10","Cd1d2"
"11","Efcab7"
"12","Elavl4"
"13","Epas1"
"14","Fah"
"15","Fkbp9"
"16","Fzd8"
"17","Gdf3"
"18","Glo1-ps"
"19","Gm10154"
"20","Gm10503"
"21","Gm11249"
"22","Gm15432"
"23","Gm16867"
"24","Gm18025"
"25","Gm26510"
"26","Gm26862"
"27","Gm27177"
"28","Gm30083"
"29","Gm30613"
"30","Gm35572"
"31","Gm37513"
"32","Gm37784"
"33","Gm38378"
"34","Gm42031"
"35","Gm42427"
"36","Gm42546"
"37","Gm49980"
"38","Gm50022"
"39","Gm5586"
"40","Gm5815"
"41","Gm5871"
"42","Gm6034"
"43","Gm6139"
"44","Gm6311"
"45","Gm6410"
"46","Gm6433"
"47","Gm6475"
"48","Gm6576"
"49","Gm6969"
"50","Gm7432"
"51","Gm7818"
"52","H2-Bl"
"53","Hmga1b"
"54","Lrmda"
"55","Map2"
"56","Ndufs5-ps"
"57","Npy"
"58","Olfml3"
"59","Rpl34-ps2"
"60","Rps2-ps8"
"61","Rps3a3"
"62","St6galnac1"
"63","St6galnac2"
"64","Wdfy1"
