"","x"
"1","1700010I14Rik"
"2","4930405D11Rik"
"3","4930578N18Rik"
"4","A930005H10Rik"
"5","Abca5"
"6","Abca9"
"7","Abhd1"
"8","Adamts1"
"9","AI506816"
"10","Ank2"
"11","BC018473"
"12","Blm"
"13","Bmp10"
"14","C030014I23Rik"
"15","Camk2b"
"16","Cd1d2"
"17","Cited4"
"18","Cxcl1"
"19","Efcab7"
"20","Eif2ak2"
"21","Elavl4"
"22","Epas1"
"23","Fah"
"24","Fgd2"
"25","Fkbp9"
"26","Fzd8"
"27","Gdf3"
"28","Glo1-ps"
"29","Gm10154"
"30","Gm10503"
"31","Gm11249"
"32","Gm13657"
"33","Gm15432"
"34","Gm15726"
"35","Gm16867"
"36","Gm18025"
"37","Gm20478"
"38","Gm26510"
"39","Gm26862"
"40","Gm27177"
"41","Gm30083"
"42","Gm30613"
"43","Gm35572"
"44","Gm37513"
"45","Gm37784"
"46","Gm37847"
"47","Gm38378"
"48","Gm42031"
"49","Gm42427"
"50","Gm42546"
"51","Gm43351"
"52","Gm45410"
"53","Gm4742"
"54","Gm49721"
"55","Gm49980"
"56","Gm50022"
"57","Gm5586"
"58","Gm5815"
"59","Gm5871"
"60","Gm6034"
"61","Gm6139"
"62","Gm6311"
"63","Gm6410"
"64","Gm6433"
"65","Gm6475"
"66","Gm6548"
"67","Gm6576"
"68","Gm6969"
"69","Gm7432"
"70","Gm7818"
"71","Gm9973"
"72","H2-Bl"
"73","Hmga1b"
"74","Itga6"
"75","Lrmda"
"76","Map2"
"77","Myo16"
"78","Ndufs5-ps"
"79","Npy"
"80","Nyap2"
"81","Olfml3"
"82","Osbpl3"
"83","Rab15"
"84","Rnps1-ps"
"85","Rpl34-ps2"
"86","Rps2-ps8"
"87","Rps3a3"
"88","Sema4b"
"89","St6galnac1"
"90","St6galnac2"
"91","Ston1"
"92","Tmem154"
"93","Wdfy1"
"94","Wdr54"
"95","Zfp40"
"96","Zfp69"
