"","x"
"1","4930405D11Rik"
"2","4930578N18Rik"
"3","9030025P20Rik"
"4","A930005H10Rik"
"5","Abca5"
"6","Abcc10"
"7","Abhd1"
"8","AI506816"
"9","Ank2"
"10","BC018473"
"11","Bend6"
"12","Camk2b"
"13","Capza1-ps1"
"14","Cd1d2"
"15","Colec12"
"16","Coro2b"
"17","Efcab7"
"18","Elavl4"
"19","Epas1"
"20","Fah"
"21","Fkbp9"
"22","Fzd8"
"23","Gdf3"
"24","Glo1-ps"
"25","Gm10154"
"26","Gm10503"
"27","Gm11249"
"28","Gm11942"
"29","Gm12366"
"30","Gm15432"
"31","Gm16867"
"32","Gm18025"
"33","Gm26510"
"34","Gm26862"
"35","Gm27177"
"36","Gm30613"
"37","Gm3435"
"38","Gm35572"
"39","Gm37784"
"40","Gm42031"
"41","Gm42427"
"42","Gm42546"
"43","Gm46620"
"44","Gm49980"
"45","Gm50022"
"46","Gm5586"
"47","Gm5815"
"48","Gm5871"
"49","Gm6034"
"50","Gm6139"
"51","Gm6311"
"52","Gm6410"
"53","Gm6433"
"54","Gm6475"
"55","Gm6576"
"56","Gm6969"
"57","Gm7432"
"58","Gm7818"
"59","Grk5"
"60","H2-Bl"
"61","Hddc3"
"62","Hmga1b"
"63","Hyi"
"64","Lrmda"
"65","Map2"
"66","Mcub"
"67","Ndufs5-ps"
"68","Ngrn"
"69","Npy"
"70","Olfml3"
"71","Pla2g12a"
"72","Psmb4"
"73","Rnps1"
"74","Rpl34-ps1"
"75","Rpl34-ps2"
"76","Rps2-ps13"
"77","Rps2-ps8"
"78","Rps3a2"
"79","Rps3a3"
"80","St6galnac1"
"81","St6galnac2"
"82","Tceanc2"
"83","Wdfy1"
"84","Zfp213"
"85","Zfp943"
