"","x"
"1","AA388235"
"2","AA474408"
"3","Aaas"
"4","Aacs"
"5","Aagab"
"6","Aamdc"
"7","Aars2"
"8","Aarsd1"
"9","Aatk"
"10","Abca2"
"11","Abca3"
"12","Abca5"
"13","Abca6"
"14","Abca9"
"15","Abcb10"
"16","Abcb1b"
"17","Abcb4"
"18","Abcb6"
"19","Abcb7"
"20","Abcb8"
"21","Abcb9"
"22","Abcc10"
"23","Abcc2"
"24","Abcd1"
"25","Abcd2"
"26","Abcd4"
"27","Abcg3"
"28","Abhd1"
"29","Abhd11"
"30","Abhd14a"
"31","Abhd14b"
"32","Abhd15"
"33","Abhd17a"
"34","Abhd4"
"35","Abhd8"
"36","Abi2"
"37","Abl1"
"38","Ablim1"
"39","Abtb1"
"40","AC132288.1"
"41","AC149090.1"
"42","AC150312.1"
"43","AC241534.1"
"44","Acaa2"
"45","Acaca"
"46","Acad10"
"47","Acad12"
"48","Acadm"
"49","Acap1"
"50","Acap3"
"51","Acat1"
"52","Acat2"
"53","Acbd5"
"54","Accs"
"55","Acd"
"56","Aco1"
"57","Acot1"
"58","Acot13"
"59","Acot2"
"60","Acot6"
"61","Acox3"
"62","Acp6"
"63","Acsbg3"
"64","Acsf2"
"65","Acss2"
"66","Acvr2b"
"67","Adal"
"68","Adam11"
"69","Adam22"
"70","Adamts10"
"71","Adarb2"
"72","Adck5"
"73","Adcy3"
"74","Adcy9"
"75","Add3"
"76","Adgre4"
"77","Adgre5"
"78","Adgrg3"
"79","Adgrl1"
"80","Adi1"
"81","Adipor1"
"82","Adipor2"
"83","Adk"
"84","Ado"
"85","Adprhl2"
"86","Adrb2"
"87","Adss"
"88","Afap1l1"
"89","Afmid"
"90","Agap1"
"91","Agap2"
"92","Agap3"
"93","Agbl3"
"94","Agbl5"
"95","Agfg2"
"96","Agmo"
"97","Ago4"
"98","Ahcy"
"99","AI413582"
"100","AI467606"
"101","AI480526"
"102","AI661453"
"103","AI839979"
"104","AI847159"
"105","Aifm1"
"106","Aipl1"
"107","Ajuba"
"108","Ak3"
"109","Akap1"
"110","Akap10"
"111","Akap11"
"112","Akap17b"
"113","Akap8l"
"114","Akip1"
"115","Akr1b10"
"116","Akr7a5"
"117","Akt1"
"118","AL731706.2"
"119","AL928616.1"
"120","Alad"
"121","Aldh16a1"
"122","Aldh4a1"
"123","Aldh6a1"
"124","Aldh9a1"
"125","Aldoc"
"126","Alg10b"
"127","Alg6"
"128","Alg8"
"129","Alkbh7"
"130","Alms1-ps1"
"131","Alms1-ps2"
"132","Alox5"
"133","Alox5ap"
"134","Als2cl"
"135","Alyref"
"136","Amacr"
"137","Amdhd2"
"138","Amigo1"
"139","Amot"
"140","Ampd2"
"141","Amz1"
"142","Anapc1"
"143","Anapc11"
"144","Anapc15"
"145","Anapc5"
"146","Ang"
"147","Angel1"
"148","Angptl2"
"149","Angptl4"
"150","Angptl6"
"151","Ank"
"152","Ank1"
"153","Ank2"
"154","Ankle1"
"155","Ankmy2"
"156","Ankrd10"
"157","Ankrd13b"
"158","Ankrd13d"
"159","Ankrd23"
"160","Ankrd26"
"161","Ankrd34a"
"162","Ankrd39"
"163","Ankrd44"
"164","Ankrd46"
"165","Ankrd54"
"166","Ankrd55"
"167","Ankrd9"
"168","Anks6"
"169","Anln"
"170","Ano7"
"171","Anp32b"
"172","Anp32b-ps1"
"173","Anp32e"
"174","Anxa9"
"175","Ap1g2"
"176","Ap1s2"
"177","Ap2a1"
"178","Ap2a2"
"179","Ap4m1"
"180","Ap5s1"
"181","Apbb1"
"182","Apex1"
"183","Apex2"
"184","Aph1b"
"185","Aph1c"
"186","Aplf"
"187","Aplnr"
"188","Aplp2"
"189","Apobec1"
"190","Apold1"
"191","Appl2"
"192","Aqp11"
"193","Arap2"
"194","Arap3"
"195","Arf2"
"196","Arfgef2"
"197","Arfgef3"
"198","Arhgap1"
"199","Arhgap11a"
"200","Arhgap15"
"201","Arhgap18"
"202","Arhgap19"
"203","Arhgap22"
"204","Arhgap27os2"
"205","Arhgap32"
"206","Arhgap33"
"207","Arhgap39"
"208","Arhgap4"
"209","Arhgap45"
"210","Arhgap6"
"211","Arhgap9"
"212","Arhgef1"
"213","Arhgef10"
"214","Arhgef10l"
"215","Arhgef17"
"216","Arhgef39"
"217","Arhgef4"
"218","Arhgef40"
"219","Arhgef6"
"220","Arhgef7"
"221","Arhgef9"
"222","Arl11"
"223","Arl15"
"224","Arl2bp"
"225","Arl4c"
"226","Arl4d"
"227","Arl6ip5"
"228","Armc10"
"229","Armc2"
"230","Armc6"
"231","Armc9"
"232","Armt1"
"233","Arrb1"
"234","Arrdc1"
"235","Arrdc2"
"236","Arrdc3"
"237","Arsa"
"238","Arsb"
"239","Arsg"
"240","Arvcf"
"241","As3mt"
"242","Asap1"
"243","Asb10"
"244","Asb2"
"245","Asb4"
"246","Asf1b"
"247","Asgr2"
"248","Asnsd1"
"249","Asph"
"250","Aspm"
"251","Aspscr1"
"252","Asrgl1"
"253","Asxl1"
"254","Atad2"
"255","Atad3a"
"256","Atad5"
"257","Atg14"
"258","Atg16l2"
"259","Atg2a"
"260","Atg2b"
"261","Atg7"
"262","Atg9b"
"263","Atl2"
"264","Atmin"
"265","Atp13a2"
"266","Atp13a3"
"267","Atp1a3"
"268","Atp23"
"269","Atp2a3"
"270","Atp5d"
"271","Atp5g1"
"272","Atp5g2"
"273","Atp6v0a1"
"274","Atp6v0c-ps2"
"275","Atp6v0d2"
"276","Atp6v0e2"
"277","Atpaf1"
"278","Atpaf2"
"279","Atr"
"280","Atraid"
"281","Atrn"
