"","x"
"1","a"
"2","A1cf"
"3","AA414768"
"4","AA467197"
"5","Aars"
"6","AB124611"
"7","Abca1"
"8","Abca17"
"9","Abcc1"
"10","Abcc4"
"11","Abhd16b"
"12","Abi1"
"13","Abr"
"14","Abracl"
"15","Abt1"
"16","Abtb2"
"17","AC113595.1"
"18","AC115752.1"
"19","AC125149.2"
"20","AC125149.3"
"21","AC125149.4"
"22","AC125149.5"
"23","AC132444.1"
"24","AC132444.2"
"25","AC132444.3"
"26","AC132444.4"
"27","AC132444.5"
"28","AC133103.1"
"29","AC133103.2"
"30","AC133103.3"
"31","AC133103.4"
"32","AC133103.6"
"33","AC133103.7"
"34","AC139579.1"
"35","AC142112.1"
"36","AC147806.1"
"37","AC147806.2"
"38","AC160336.1"
"39","AC161757.1"
"40","AC167036.1"
"41","AC167036.2"
"42","AC168977.1"
"43","AC168977.2"
"44","AC169509.1"
"45","Acaa1a"
"46","Acaa1b"
"47","Acadl"
"48","Acbd3"
"49","Acer3"
"50","Acod1"
"51","Acot7"
"52","Acot9"
"53","Acoxl"
"54","Acp2"
"55","Acp5"
"56","Acpp"
"57","Acsl1"
"58","Acsl4"
"59","Acsl5"
"60","Actb"
"61","Actg-ps1"
"62","Actg1"
"63","Actr10"
"64","Actr2"
"65","Actr3"
"66","Actr3-ps"
"67","Acvr1"
"68","Acvr1b"
"69","Acvrl1"
"70","Acyp2"
"71","Adam17"
"72","Adam8"
"73","Adam9"
"74","Adamts14"
"75","Adamts6"
"76","Adamtsl4"
"77","Adap2"
"78","Adap2os"
"79","Adar"
"80","Adarb1"
"81","Adgb"
"82","Adgre1"
"83","Adgrg6"
"84","Adgrg7"
"85","Adgrl2"
"86","Adm"
"87","Adora2a"
"88","Adora2b"
"89","Adora3"
"90","Adprh"
"91","Adprm"
"92","Aebp2"
"93","Aff1"
"94","Afg1l"
"95","Aftph"
"96","Agfg1"
"97","Ago3"
"98","Agpat4"
"99","Agrn"
"100","Agtrap"
"101","Ahi1"
"102","Ahnak2"
"103","Ahr"
"104","Ahsa2"
"105","AI504432"
"106","AI506816"
"107","AI606473"
"108","AI662270"
"109","AI837181"
"110","Aida"
"111","Aif1"
"112","Aifm2"
"113","Aig1"
"114","Aim2"
"115","Airn"
"116","Ak4"
"117","Akap12"
"118","Akap3"
"119","Akap6"
"120","Akirin1"
"121","Akna"
"122","Aknaos"
"123","Akt3"
"124","AL607142.1"
"125","AL731706.1"
"126","Alas1"
"127","Alcam"
"128","Aldh1a2"
"129","Aldh1b1"
"130","Aldoa"
"131","Alg12"
"132","Alg2"
"133","Alox12"
"134","Alpk1"
"135","Alpk2"
"136","Amer2"
"137","Ammecr1l"
"138","Amn1"
"139","Amotl2"
"140","Ampd3"
"141","Anapc10"
"142","Angpt1"
"143","Angptl3"
"144","Ankfy1"
"145","Ankib1"
"146","Ankle2"
"147","Ankmy1"
"148","Ankrd12"
"149","Ankrd13c"
"150","Ankrd17"
"151","Ankrd33b"
"152","Ankrd37"
"153","Ankrd50"
"154","Ankrd66"
"155","Anks1"
"156","Anp32a"
"157","Anpep"
"158","Antxr1"
"159","Anxa1"
"160","Anxa2"
"161","Anxa6"
"162","Anxa7"
"163","Aoah"
"164","Aopep"
"165","Ap1g1"
"166","Ap2b1"
"167","Ap3b1"
"168","Ap3m1-ps"
"169","Ap3m2"
"170","Ap3s1-ps1"
"171","Ap4b1"
"172","Apaf1"
"173","Apba1"
"174","Apbb2"
"175","Apobec3"
"176","Apobr"
"177","Apod"
"178","Apol10b"
"179","Apol7c"
"180","Apol7e"
"181","Apol9a"
"182","Apol9b"
"183","Apon"
"184","Apool"
"185","App"
"186","Aptx"
"187","Aqp9"
"188","Arap1"
"189","Arcn1"
"190","Areg"
"191","Arel1"
"192","Arf1"
"193","Arf3"
"194","Arf4"
"195","Arfgap3"
"196","Arfgef1"
"197","Arg1"
"198","Arg2"
"199","Arhgap10"
"200","Arhgap26"
"201","Arhgap28"
"202","Arhgap31"
"203","Arhgap8"
"204","Arhgef12"
"205","Arhgef28"
"206","Arhgef3"
"207","Arhgef37"
"208","Arid4a"
"209","Arid4b"
"210","Arid5a"
"211","Arid5b"
"212","Arih1"
"213","Arl1"
"214","Arl3"
"215","Arl4a"
"216","Arl5b"
"217","Arl5c"
"218","Arl8a"
"219","Armc7"
"220","Armc8"
"221","Armcx3"
"222","Armcx6"
"223","Arnt2"
"224","Arpc5"
"225","Arrdc4"
"226","Arsi"
"227","Art2a"
"228","Art3"
"229","Asah2"
"230","Asb11"
"231","Asb13"
"232","Ascc3"
"233","Asf1a"
"234","Ash1l"
"235","Ass1"
"236","Astl"
"237","Atad1"
"238","Atad2b"
"239","Atf3"
"240","Atf5"
"241","Atg16l1"
"242","Atg3"
"243","Atg4a"
"244","Atg4a-ps"
"245","Atg4d"
"246","Atp10a"
"247","Atp11a"
"248","Atp11b"
"249","Atp13a1"
"250","Atp13a4"
"251","Atp1b3"
"252","Atp2b4"
"253","Atp5md"
"254","Atp5pb-ps"
"255","Atp6v0a2"
"256","Atp6v1c2"
"257","Atp6v1d"
"258","Atp6v1e1"
"259","Atp6v1h"
"260","Atp7a"
"261","Atp9b"
"262","Atxn7l1"
"263","AU020206"
"264","AU041133"
"265","AW011738"
"266","AW046200"
"267","AW112010"
"268","Axl"
"269","Azi2"
"270","Azin1"
"271","Azin2"
"272","B2m"
"273","B3gnt2"
"274","B3gnt5"
"275","B4galt5"
"276","Bag1"
"277","Bag3"
"278","Bahcc1"
"279","Bak1"
"280","Bambi-ps1"
"281","Banp"
"282","Basp1"
"283","Batf"
"284","Batf2"
"285","Baz1a"
"286","Baz2a"
"287","Baz2b"
"288","Bbip1"
"289","Bbs4"
"290","Bbx"
"291","BC023105"
"292","BC024978"
"293","BC028528"
"294","BC031181"
"295","BC049715"
"296","BC051226"
"297","Bc1"
"298","BC147527"
"299","Bcar1"
"300","Bckdhb"
"301","Bcl2a1a"
"302","Bcl2a1b"
"303","Bcl2a1c"
"304","Bcl2a1d"
"305","Bcl3"
"306","Bcl6"
"307","Bcl9"
"308","Bclaf3"
"309","Bco2"
"310","Bcor"
"311","Bdh2"
"312","Bdkrb1"
"313","Bdp1"
"314","BE692007"
"315","Becn1"
"316","Bend7"
"317","Bfar"
"318","Bgn"
"319","Bicdl2"
"320","Birc2"
"321","Birc3"
"322","Birc6"
"323","Blcap"
"324","Bloc1s6"
"325","Blvrb"
"326","Blzf1"
"327","Bmerb1"
"328","Bmi1"
"329","Bmp1"
"330","Bmp10"
"331","Bmper"
"332","Bmpr2"
"333","Bnc2"
"334","Bnip2"
"335","Bnip3"
"336","Boc"
"337","Bpifc"
"338","Braf"
"339","Brd2"
"340","Brd7"
"341","Brwd3"
"342","Bsdc1"
"343","Bsg"
"344","Bst1"
"345","Bst2"
"346","Btaf1"
"347","Btbd16"
"348","Btg1"
"349","Btg2"
"350","Btg3"
"351","Btla"
"352","Btrc"
"353","Bud31"
"354","Bvht"
"355","C1galt1c1"
"356","C1qtnf9"
"357","C1ra"
"358","C1rb"
"359","C1rl"
"360","C1s1"
"361","C2cd2"
"362","C3"
"363","C3ar1"
"364","C4b"
"365","C9orf72"
"366","CAAA01098150.1"
"367","Caap1"
"368","Cab39l"
"369","Cabp4"
"370","Cacnb2"
"371","Cacnb3"
"372","Cacng6"
"373","Cacybp"
"374","Calcr"
"375","Calcrl"
"376","Calhm6"
"377","Calm1"
"378","Calu"
"379","Camk2n1"
"380","Caml"
"381","Capg"
"382","Capns2"
"383","Capza1"
"384","Capza2"
"385","Car13"
"386","Car2"
"387","Car3"
"388","Card6"
"389","Carhsp1"
"390","Carlr"
"391","Carmil1"
"392","Cars"
"393","Casp1"
"394","Casp12"
"395","Casp3"
"396","Casp4"
"397","Casp7"
"398","Casp8"
"399","Casz1"
"400","Cav1"
"401","Cbl"
"402","Cbr4"
"403","Cbwd1"
"404","Ccar1"
"405","Ccdc122"
"406","Ccdc130"
"407","Ccdc146"
"408","Ccdc171"
"409","Ccdc173"
"410","Ccdc174"
"411","Ccdc194"
"412","Ccdc25"
"413","Ccdc50"
"414","Ccdc59"
"415","Ccdc6"
"416","Ccdc62"
"417","Ccdc63"
"418","Ccdc71l"
"419","Ccdc86"
"420","Ccdc88b"
"421","Ccdc96"
"422","Ccl12"
"423","Ccl17"
"424","Ccl2"
"425","Ccl22"
"426","Ccl3"
"427","Ccl4"
"428","Ccl5"
"429","Ccl7"
"430","Ccl8"
"431","Ccl9"
"432","Ccn2"
"433","Ccn4"
"434","Ccnc"
"435","Ccnd2"
"436","Ccnj"
"437","Ccnl1"
"438","Ccnt1"
"439","Ccnt2"
"440","Ccnyl1"
"441","Ccr1"
"442","Ccr3"
