"","x"
"1","0610009B22Rik"
"2","0610009E02Rik"
"3","0610009L18Rik"
"4","0610010F05Rik"
"5","0610010K14Rik"
"6","0610012G03Rik"
"7","0610030E20Rik"
"8","0610038B21Rik"
"9","0610039K10Rik"
"10","0610040B10Rik"
"11","0610040J01Rik"
"12","0610043K17Rik"
"13","1010001B22Rik"
"14","1110002J07Rik"
"15","1110002L01Rik"
"16","1110003F10Rik"
"17","1110004F10Rik"
"18","1110006O24Rik"
"19","1110008P14Rik"
"20","1110012L19Rik"
"21","1110013H19Rik"
"22","1110017D15Rik"
"23","1110019D14Rik"
"24","1110020A21Rik"
"25","1110025M09Rik"
"26","1110028F18Rik"
"27","1110032A03Rik"
"28","1110032F04Rik"
"29","1110035H17Rik"
"30","1110038B12Rik"
"31","1110038F14Rik"
"32","1110046J04Rik"
"33","1110051M20Rik"
"34","1110059E24Rik"
"35","1110059G10Rik"
"36","1110065P20Rik"
"37","1190001M18Rik"
"38","1190005I06Rik"
"39","1190007I07Rik"
"40","1200007C13Rik"
"41","1300002E11Rik"
"42","1300014J16Rik"
"43","1500002C15Rik"
"44","1500002F19Rik"
"45","1500004A13Rik"
"46","1500005C15Rik"
"47","1500011B03Rik"
"48","1500015A07Rik"
"49","1600010M07Rik"
"50","1600012H06Rik"
"51","1600014C10Rik"
"52","1600020E01Rik"
"53","1600022D10Rik"
"54","1700001C19Rik"
"55","1700001G11Rik"
"56","1700001G17Rik"
"57","1700001K19Rik"
"58","1700001L05Rik"
"59","1700003D09Rik"
"60","1700003E16Rik"
"61","1700003F12Rik"
"62","1700003N22Rik"
"63","1700006J14Rik"
"64","1700007J10Rik"
"65","1700007L15Rik"
"66","1700008B11Rik"
"67","1700008J07Rik"
"68","1700008O03Rik"
"69","1700010I14Rik"
"70","1700011B04Rik"
"71","1700012B09Rik"
"72","1700012D14Rik"
"73","1700014D04Rik"
"74","1700016A09Rik"
"75","1700017B05Rik"
"76","1700017G19Rik"
"77","1700018L02Rik"
"78","1700018M17Rik"
"79","1700019D03Rik"
"80","1700019L13Rik"
"81","1700020D05Rik"
"82","1700020L24Rik"
"83","1700020N01Rik"
"84","1700021J08Rik"
"85","1700022I11Rik"
"86","1700022N22Rik"
"87","1700023B13Rik"
"88","1700024I08Rik"
"89","1700025A08Rik"
"90","1700025G04Rik"
"91","1700025N23Rik"
"92","1700026F02Rik"
"93","1700027A07Rik"
"94","1700028E10Rik"
"95","1700028I16Rik"
"96","1700028J19Rik"
"97","1700028K03Rik"
"98","1700028N14Rik"
"99","1700029I15Rik"
"100","1700030C10Rik"
"101","1700030J22Rik"
"102","1700030K09Rik"
"103","1700030N03Rik"
"104","1700034H15Rik"
"105","1700034I23Rik"
"106","1700034P13Rik"
"107","1700037C18Rik"
"108","1700037H04Rik"
"109","1700041G16Rik"
"110","1700047M11Rik"
"111","1700048M11Rik"
"112","1700051K13Rik"
"113","1700052K11Rik"
"114","1700055D18Rik"
