"","x"
"1","Mir1956"
"2","Col5a3"
"3","Prss46"
"4","Prm1"
"5","Il6"
"6","Vgf"
"7","Plat"
"8","Nos2"
"9","Chic1"
"10","Slc1a2"
"11","Cxcl11"
"12","Csf3"
"13","Ccl17"
"14","Gfpt2"
"15","Il33"
"16","Art3"
"17","Vnn3"
"18","Saa1"
"19","Saa3"
"20","Lif"
"21","Erich2os"
"22","Arg1"
"23","Cd247"
"24","Serpina3e-ps"
"25","Cxcl3"
"26","U90926"
"27","Lipg"
"28","Cfb"
"29","Edn1"
"30","Ccl5"
"31","Ptgs2"
"32","Tnc"
"33","Serpinb2"
"34","Loxl4"
"35","Mir7676-1"
"36","Shisa3"
"37","Spats2l"
"38","Mir155"
"39","BC023105"
"40","Timp1"
"41","Tarm1"
"42","Gm10851"
"43","Styk1"
"44","Fpr3"
"45","Urah"
"46","Enpp2"
"47","Nav3"
"48","Apol9a"
"49","Dpysl3"
"50","Etnk2"
"51","Cxcl9"
"52","Tead1"
"53","AC161757.1"
"54","Acod1"
"55","Fap"
"56","Gbp2b"
"57","Fat2"
"58","Gm14199"
"59","Erich2"
"60","Serpine1"
"61","Serpina3h"
"62","Gm14569"
"63","Csf2"
"64","Tbx10"
"65","Pcp4"
"66","Lancl3"
"67","Gm15056"
"68","Adm"
"69","Slc6a20a"
"70","Arhgap8"
"71","Unc5c"
"72","Ednra"
"73","Met"
"74","Majin"
"75","Gbp5"
"76","Tpbpa"
"77","Rasgrp1"
"78","Col12a1"
"79","Gm11216"
"80","Draxin"
"81","Inhba"
"82","Upk3b"
"83","Lum"
"84","Mmp13"
"85","Ptx3"
"86","Ccl7"
"87","Tmem132e"
"88","Gbp6"
"89","Cd38"
"90","Cemip"
"91","Slfn4"
"92","Areg"
"93","Tnfrsf9"
"94","Thbs4"
"95","Pde10a"
"96","Atp13a4"
"97","Olr1"
"98","Lrrc4"
"99","Dlgap3"
"100","Pdpn"
"101","Socs3"
"102","Nt5c1a"
"103","Mgarp"
"104","Tnfsf4"
"105","AW112010"
"106","Slamf1"
"107","Fpr1"
"108","Macc1"
"109","Trpm6"
"110","Pappa2"
"111","Spta1"
"112","AA467197"
"113","Gm12097"
"114","Tacr2"
"115","Cstdc4"
"116","Adora2a"
"117","Rsad2"
"118","Phldb2"
"119","Bmerb1"
"120","AC133103.3"
"121","Ism1"
"122","Ccl22"
"123","Ptpn5"
"124","Serpina3i"
"125","Obsl1"
"126","Gad1os"
"127","Gbp10"
"128","Osmr"
"129","Upp1"
"130","C1s1"
"131","Ms4a4d"
"132","Coch"
"133","Csta2"
"134","Slfn1"
"135","Ptges"
"136","Flrt3"
"137","Sprr2d"
"138","Rgs16"
"139","Tnfrsf11b"
"140","Robo2"
"141","Apol9b"
"142","Mylk2"
"143","Oasl1"
"144","Gbp2"
"145","Pamr1"
"146","Mark1"
"147","Slc28a2b"
"148","Serpina3f"
"149","Oprd1"
"150","Vwa3b"
"151","Sectm1a"
"152","Mmp25"
"153","Cd69"
"154","Inava"
"155","Trim30c"
"156","Gm11843"
"157","Dhh"
"158","Vcan"
"159","Slc6a4"
"160","Casp12"
"161","Gm10125"
"162","Eml1"
"163","Zfp811"
"164","Ms4a4c"
"165","Ccl8"
"166","Serping1"
"167","Bcl2a1c"
"168","Pax5"
"169","Saa2"
"170","Pou3f1"
"171","Nhs"
"172","P3h2"
"173","Ccl12"
"174","Slc28a2"
"175","Gm11999"
"176","Btbd16"
"177","Il4i1"
"178","Usp50"
"179","Gbp3"
"180","AC167036.2"
"181","Gm14010"
"182","Pxdn"
"183","Lad1"
"184","Tpbg"
"185","Podxl"
"186","Npy"
"187","Tex12"
"188","Gbp7"
"189","Zfp819"
"190","Asb11"
"191","Cilp2"
"192","Gbp11"
"193","Foxs1"
"194","Mmp14"
"195","Fabp7"
"196","Cp"
"197","Cd274"
"198","Bmp10"
"199","Shbg"
"200","Abtb2"
"201","Marco"
"202","Gm12185"
"203","Cxcl2"
"204","Garem2"
"205","Gbp4"
"206","Tdgf1"
"207","Kctd19"
"208","Procr"
"209","Dnah5"
"210","Inhbb"
"211","Fpr2"
"212","Gm11541"
"213","Cxcl1"
"214","Dcn"
"215","Cfap54"
"216","Mx1"
"217","Olfr432"
"218","Itgb8"
"219","Gm15356"
"220","Tnfaip8l3"
"221","Calcr"
"222","Tnn"
"223","Sema7a"
"224","Cmpk2"
"225","Cd200"
"226","Bst1"
"227","Mir155hg"
"228","Tgtp1"
"229","Tnfsf15"
"230","Dusp14"
"231","Col8a1"
"232","Tdgf1-ps1"
"233","Src"
"234","Steap4"
"235","Ehd2"
"236","Tmem198"
"237","Tnnt2"
"238","Vangl1"
"239","Car2"
"240","Tgtp2"
"241","Gm13822"
"242","Sytl3"
"243","Rem2"
"244","Gm11998"
"245","Oas1d"
"246","Fosl1"
"247","Tmc3"
"248","Tldc2"
"249","Cav1"
"250","Isg20"
"251","Bpifc"
"252","Ccl2"
"253","Ly6i"
"254","Six4"
"255","Lims2"
"256","Cdh15"
"257","Ptgs2os"
"258","Trim30b"
"259","Serpinb3b"
"260","Fbn1"
"261","Meikin"
"262","Cd40"
"263","Trac"
"264","Dmkn"
"265","Gm14963"
"266","Tacstd2"
"267","Cnksr1"
"268","Csn1s1"
"269","Iqschfp"
"270","Syt16"
"271","Selp"
"272","Sema3g"
"273","Pla1a"
"274","Slc7a11"
"275","Mmp10"
"276","Bdkrb1"
"277","Isg15"
