"","x"
"1","4930405D11Rik"
"2","4930578N18Rik"
"3","9030025P20Rik"
"4","A930005H10Rik"
"5","Abca5"
"6","Abcc10"
"7","Abhd1"
"8","AI506816"
"9","Ank2"
"10","BC018473"
"11","Bend6"
"12","Camk2b"
"13","Capza1-ps1"
"14","Cd1d2"
"15","Colec12"
"16","Coro2b"
"17","Efcab7"
"18","Elavl4"
"19","Epas1"
"20","Fah"
"21","Fkbp9"
"22","Fzd8"
"23","Gdf3"
"24","Glo1-ps"
"25","Gm10154"
"26","Gm10503"
"27","Gm11249"
"28","Gm11942"
"29","Gm12366"
"30","Gm15432"
"31","Gm16867"
"32","Gm18025"
"33","Gm26510"
"34","Gm26862"
"35","Gm27177"
"36","Gm30083"
"37","Gm30613"
"38","Gm3435"
"39","Gm35572"
"40","Gm37513"
"41","Gm37784"
"42","Gm38378"
"43","Gm42031"
"44","Gm42427"
"45","Gm42546"
"46","Gm46620"
"47","Gm49980"
"48","Gm50022"
"49","Gm5586"
"50","Gm5815"
"51","Gm5871"
"52","Gm6034"
"53","Gm6139"
"54","Gm6311"
"55","Gm6410"
"56","Gm6433"
"57","Gm6475"
"58","Gm6576"
"59","Gm6969"
"60","Gm7432"
"61","Gm7818"
"62","Grk5"
"63","H2-Bl"
"64","Hddc3"
"65","Hmga1b"
"66","Hyi"
"67","Lrmda"
"68","Map2"
"69","Mcub"
"70","Ndufs5-ps"
"71","Ngrn"
"72","Npy"
"73","Olfml3"
"74","Pla2g12a"
"75","Psmb4"
"76","Rnps1"
"77","Rpl34-ps1"
"78","Rpl34-ps2"
"79","Rps2-ps13"
"80","Rps2-ps8"
"81","Rps3a2"
"82","Rps3a3"
"83","St6galnac1"
"84","St6galnac2"
"85","Tceanc2"
"86","Wdfy1"
"87","Zfp213"
"88","Zfp943"
