"","x"
"1","1700010I14Rik"
"2","4930405D11Rik"
"3","4930578N18Rik"
"4","9030025P20Rik"
"5","A930005H10Rik"
"6","Aak1"
"7","Abca5"
"8","Abca9"
"9","Abcc10"
"10","Abcg1"
"11","Abhd1"
"12","Adamts1"
"13","Agl"
"14","AI506816"
"15","AI839979"
"16","Ank2"
"17","Anxa4"
"18","Arc"
"19","As3mt"
"20","Azin1"
"21","BC018473"
"22","Bend6"
"23","Blm"
"24","Bmp10"
"25","C030014I23Rik"
"26","Camk2b"
"27","Capza1"
"28","Capza1-ps1"
"29","Caskin2"
"30","Ccr2"
"31","Cd1d2"
"32","Chil3"
"33","Cib1"
"34","Cited4"
"35","Colec12"
"36","Coro2b"
"37","Cpeb1"
"38","Crem"
"39","Cxcl1"
"40","Cycs"
"41","Dcbld2"
"42","Dusp1"
"43","Dusp10"
"44","Dusp5"
"45","Dusp8"
"46","Dynlt1-ps1"
"47","Dynlt1b"
"48","Dynlt1c"
"49","Eed"
"50","Efcab7"
"51","Eif2ak2"
"52","Elavl4"
"53","Emilin1"
"54","Emilin2"
"55","Entpd4"
"56","Entpd4b"
"57","Epas1"
"58","Ermard"
"59","Fah"
"60","Fam177a"
"61","Fam177a2"
"62","Fbxo30"
"63","Fcrls"
"64","Fes"
"65","Fgd2"
"66","Fkbp9"
"67","Flrt2"
"68","Furin"
"69","Fzd8"
"70","Gdf3"
"71","Gdpgp1"
"72","Gem"
"73","Glo1-ps"
"74","Gm10053"
"75","Gm10108"
"76","Gm10154"
"77","Gm10503"
"78","Gm11249"
"79","Gm11942"
"80","Gm12366"
"81","Gm13657"
"82","Gm15432"
"83","Gm15726"
"84","Gm16867"
"85","Gm18025"
"86","Gm20478"
"87","Gm26510"
"88","Gm26862"
"89","Gm27177"
"90","Gm30083"
"91","Gm30613"
"92","Gm3435"
"93","Gm35572"
"94","Gm37513"
"95","Gm37784"
"96","Gm37847"
"97","Gm38378"
"98","Gm42031"
"99","Gm42427"
"100","Gm42546"
"101","Gm43351"
"102","Gm45410"
"103","Gm46620"
"104","Gm4742"
"105","Gm49388"
"106","Gm49721"
"107","Gm49980"
"108","Gm50022"
"109","Gm5586"
"110","Gm5815"
"111","Gm5871"
"112","Gm6034"
"113","Gm6139"
"114","Gm6311"
"115","Gm6410"
"116","Gm6433"
"117","Gm6475"
"118","Gm6548"
"119","Gm6576"
"120","Gm6969"
"121","Gm7432"
"122","Gm7818"
"123","Gm8801"
"124","Gm9973"
"125","Gmpr"
"126","Gnat3"
"127","Grk2"
"128","Grk5"
"129","H2-Bl"
"130","H2-T24"
"131","Hddc3"
"132","Hmga1b"
"133","Hmga2"
"134","Hyi"
"135","Ifrd1"
"136","Il1rn"
"137","Il7r"
"138","Inhba"
"139","Itga6"
"140","Khsrp"
"141","Kitl"
"142","Klf4"
"143","Larp7"
"144","Lilr4b"
"145","Lrmda"
"146","Ltf"
"147","Man2a2"
"148","Map2"
"149","Mapk6"
"150","Mcub"
"151","Mfsd13a"
"152","Mid1"
"153","Mid1-ps1"
"154","Mmp12"
"155","Mpp6"
"156","Myo16"
"157","Nabp1"
"158","Ndufs5"
"159","Ndufs5-ps"
"160","Nedd4l"
"161","Ngp"
"162","Ngrn"
"163","Npy"
"164","Nyap2"
"165","Olfml3"
"166","Osbpl3"
"167","Osm"
"168","Pcyt1a"
"169","Pilra"
"170","Pla2g12a"
"171","Pla2g7"
"172","Plcxd2"
"173","Plk2"
"174","Pls3"
"175","Pmaip1"
"176","Psmb4"
"177","Rab15"
"178","Rab9"
"179","Rgs1"
"180","Rnps1"
"181","Rnps1-ps"
"182","Rpl34-ps1"
"183","Rpl34-ps2"
"184","Rps2"
"185","Rps2-ps13"
"186","Rps2-ps8"
"187","Rps3a1"
"188","Rps3a2"
"189","Rps3a3"
"190","Samd11"
"191","Sema3c"
"192","Sema4b"
"193","Sh3d19"
"194","Sirt1"
"195","Srp54a"
"196","Srp54b"
"197","Srp54c"
"198","St6galnac1"
"199","St6galnac2"
"200","Ston1"
"201","Synj2"
"202","Tceanc2"
"203","Tent5c"
"204","Tmem154"
"205","Tnfrsf11a"
"206","Tubb5"
"207","Txnl4a"
"208","Unc45a"
"209","Utp11"
"210","Vill"
"211","Wdfy1"
"212","Wdr54"
"213","Zbtb21"
"214","Zfp213"
"215","Zfp40"
"216","Zfp69"
"217","Zfp943"
"218","Zfp944"
"219","Zfp983"
